venue_name,city,state
Sonoma County Fairgrounds,Santa Rosa,CA
"Hotel Grand Premium Brisa, Salvador - Bahia",Salvador da Bahia,
Bossier City Civic Center,Bossier City,LA
Floyd County 4-H Fairground,New Albany,IN
Kay Bailey Hutchison - Dallas Convention Center,Dallas,TX
"Surrey, BC",Surrey,BC
We-Ko-Pa Resort & Conference Center,Scottsdale,AZ
"American Legion Building, Jacksonville",Camp Lejeune,NC
Volusia County Fairgrounds Deland,DeLand,FL
Knoxville Expo Center,Knoxville,TN
Indiana Convention Center,Indianapolis,IN
Ozark Empire Fairgrounds & Event Center,Springfield,MO
Mississippi Trademart Center,Jackson,MS
Delaware County Fairgrounds,Muncie,IN
Jim R. Miller Park & Event Center,Marietta,GA
Pontchatrain Convention & Civic Center,New Orleans,LA
Lake County Fairgrounds Eustis,Orlando,FL
Marriott Puerto Vallarta Resort & Spa,Puerto Vallarta,
Miami Beach Convention Center,Miami,FL
Sheraton Atlanta Hotel,Atlanta,GA
"Municipal Event Center, Marion",Marion,NC
Duluth Entertainment Convention Center,Duluth,MN
El Hasa Shrine Temple,Ashland,KY
Thurston County Fairgrounds,Lacey,WA
MID-TN Expo Center,Murfreesboro,TN
South Carolina State Fairgrounds,Columbia,SC
Palm Beach County Convention Center,Palm Beach,FL
"New Orleans, LA",New Orleans,LA
Las Vegas Motor Speedway,Las Vegas,NV
VFW Post 534,Joplin,MO
Prime Osborn Convention Center,Jacksonville,FL
Marymount Event Center,Tacoma,WA
"National Guard Armory, Wilmington",Wilmington,NC
"National Guard Armory, Lenoir, TN",Lenoir,TN
"Atlanta, GA",Atlanta,GA
Johnson County Sheriff's Posse,Cleburne,TX
Expo Center Shawnee - Heart of Oklahoma Exposition Center,Oklahoma City,OK
NC State Fairgrounds,Raleigh,NC
"Aqua Hotel, Miami",Miami,FL
Lafayette Event Center,Lafayette,LA
Kentucky Exposition Center,Louisville,KY
Faulkner County Fairgrounds,Conway,AR
"Toronto, ON",Toronto,ON
Georgia World Congress Center,Atlanta,GA
DeChoice Banquet Hall and Events,Forest Park,GA
Haywood County Fairgrounds,Asheville,NC
Dulles Expo & Conference Center,Fairfax,VA
Banquets of Minnesota,Fridley,MN
Howard County Fairgrounds,Baltimore,MD
Atlanta Exposition Center,Atlanta,GA
Savannah International Trade & Convention Center,Savannah,GA
Williamson County Expo Center,Georgetown,TX
Kentucky International Convention Center,Louisville,KY
Hilton San Francisco Union Square,San Francisco,CA
Renaissance Schaumburg Hotel,Schaumburg,IL
Portland Expo Center,Portland,OR
Norris-Penrose Event Center,Colorado Springs,CO
Charlotte County Fairgrounds,Port Charlotte,Fl
Austin Convention Center,Austin,TX
Western N.C. Agricultural Center,Fletcher,NC
"Orlando, FL",Orlando,FL
"Sarasota, FL",Sarasota,FL
Monona Terrace Convention Center,Madison,WI
Ohio Expo Center & State Fair,Columbus,OH
Brittlebank Park and Bristol Marina,Charleston,SC
Iron 23,New York,NY
Columbia Metropolitan Convention Center,Columbia,SC
Riverside Convention Center,Riverside,CA
New Braunfels Civic & Convention Center,New Braunfels,TX
Sturbridge Host Hotel & Conference Center,Sturbridge,MA
Lee Civic Center,Fort Myers,FL
Suburban Collection Showplace,Novi,MI
Toyota Oakdale Theatre,Bristol,CT
Baltimore Convention Center,Baltimore,MD
New Jersey Convention & Exposition Center,Edison,NJ
Greenville Convention Center,Greenville,NC
Boston Convention & Exhibition Center,Boston,MA
Best Western Inn At Hunt's Landing,Matamoras,PA
Canadian Warplane Heritage Museum,Hamilton,ON
Fox Cities Exhibition Center,Appleton,WI
Meadow Event Park,Richmond,VA
Ernst & Young Centre,Ottawa,ON
Miami Marine Stadium Park & Basin,Miami,FL
Espace Saint-Hyacinthe - Centre BMO,Saint-Hyacinthe,QC
Earth Expo & Convention Center,Norwich,CT
Charlotte Convention Center,Charlotte,NC
"RBC Convention Centre, Winnipeg",Winnipeg,MB
Caesars Palace,Las Vegas,NV
VFW Fairground Complex,Carrollton,GA
Hilton Orlando Bonnet Creek,Orlando,FL
"Tempe, AZ",Tempe,AZ
Mahaffey Theater Yacht Basin,St. Petersburg,FL
La Fonda Hotel,Santa Fe,NM
Hyatt Regency Minneapolis,Minneapolis,MN
Halifax Exhibition Centre,Halifax,NS
"San Diego, CA",San Diego,CA
Expo Guadalajara,Guadalajara,
Center 415,New York,NY
"Miami, FL",Miami,FL
Tacoma Dome,Tacoma,WA
Better Living Center,Springfield,MA
Sioux Falls Convention Center,Sioux Falls,SD
Vancouver Convention Centre,Vancouver,BC
The Ritz-Carlton Golf Resort,Naples,FL
Lyon County Fairgrounds,Emporia,KS
Canterbury Park,Shakopee,MN
Charleston Area Convention Center,Charleston,SC
Gaylord Texan Resort & Convention Center,Grapevine,TX
Bloomington Armory,Minneapolis,MN
AT&T Hotel and Conference Center,Austin,TX
"Los Angeles, CA",Los Angeles,CA
Sacramento Convention Center,Sacramento,CA
San Diego Mission Bay Resort,San Diego,CA
Salem Civic Center,Salem,VA
Extraco Events Center,Waco,TX
Anaheim Convention Center,Anaheim,CA
Chevy Chase Country Club Wheeling,Chicago,IL
Montgomery County Event Center,Dayton,OH
MS Coast Coliseum,Biloxi,MS
"Las Vegas, NV",Las Vegas,NV
Cabarrus Arena & Events Center Concord,Concord,NC
Best Western Royal Plaza Trade Center Marlborough,Worcester,MA
Macon County Recreation Park,Franklin,NC
Havana,Havana,
Coosa Valley Fairgrounds,Rome,GA
Colorado School of Mines,Denver,CO
Carapina Centro de Eventos,Serra,Espírito Santo
Naples Exhibition Center,Naples,FL
Charleston Civic Center,Charleston,WV
Decatur County Fairgrounds,Parsons,TN
"Boulder, CO",Boulder,CO
Greensboro Coliseum Complex,Greensboro,NC
BC Place Stadium,Vancouver,BC
America's Center Convention Complex,St. Louis,MO
Kansas City Convention Center,Kansas City,MO
Meadowlands Exposition Center,New York,NY
NRG Park,Houston,TX
Garland County Fairgrounds,Hot Springs,AR
"The International Centre, Toronto",Toronto,ON
Washington State Fair Events Center,Puyallup,WA
Greater Richmond Convention Center,Richmond,VA
Marine Corps Base - Camp Pendleton,Camp Pendleton,CA
Pooler-Cottonwood Conference Center,Pooler,GA
The Ranch - Larimer County Fairgrounds,Loveland,CO
WNC Agricultural Center,Asheville,NC
"National GuardArmy, Maryville",Maryville,TN
Moscone Convention Center,San Francisco,CA
Cintermex,Monterrey,
"Houston, TX",Houston,TX
Lancaster Event Center,Lincoln,NE
Dripping Springs Ranch Park and Event Center,Austin,TX
Ector County Coliseum Complex,Odessa,TX
"Tampa, FL",Tampa,FL
Rogers Convention Center,Rogers,AR
Royal Plaza Hotel & Trade Center,Marlborough,MA
Heinz Field,Pittsburgh,PA
Westland Mall,Columbus,OH
Seatle Convention Center,Seattle,WA
"The Madison Hotel, Washington, DC",Washington D.C.,
The Mart,Chicago,IL
Palm Springs Convention Center,Palm Springs,CA
Exchange Club Fairgrounds,Brunswick,GA
La Crosse Center,La Crosse,WI
Jacksonville Fairgrounds - Expo Center,Jacksonville,FL
The INK 48 Hotel,New York,NY
Bayfield Community Centre,Barrie,ON
Dallas Market Center,Dallas,TX
Station 1 Event Center,Zimmerman,MN
"Crown Expo Center, Fayetteville",Fayetteville,NC
"Stade Olympique, Montréal",Montreal,QC
"U.S. Bank Stadium, Minneapolis",Minneapolis,MN
"Montreal, QC",Montreal,QC
American Royal Center,Kansas City,MO
Dayton Airport Expo Center,Dayton,OH
Furniture and Things Event Center,Elk River,MN
Seattle Center,Seattle,WA
The Venetian Resort and Hotel,Las Vegas,NV
Birmingham-Jefferson Convention Complex,Birmingham,AL
Event Center at Twin River Casino,Lincoln,RI
Raleigh Convention Center,Raleigh,NC
Douglas County Fairgrounds,Castle Rock,CO
Metropolitan Pavilion,New York,NY
Wynwood Arts District,Miami,FL
International Agri-Center,Tulare,CA
Earth Expo & Covention Center at Mohegan Sun,Uncasville,CT
"NYS Fairgrounds - Syracuse, NY",Syracuse,NY
Wisconsin Center,Milwaukee,WI
Intercontinental Miami,Miami,FL
Centro de Congresos Queretaro,Querétaro,
"Nashville, TN",Nashville,TN
"Hyatt Regency, Indian Wells Resort & Spa",Indian Wells,CA
DCU Center,Worcester,MA
"Hotel Bonaventure, Montréal",Montreal,QC
Hasin Shrine Temple,Albany,GA
Kern County Fair,Bakersfield,CA
Eastlink Centre,Charlottetown,PE
Reno-Sparks Convention Center,Reno,NV
EAA Wearhouse,Oshkosh,WI
"Calgary, AB",Calgary,AB
"Palm Harbor, FL",Palm Harbor,FL
"Western Fair, Canada Building",London,ON
Conexus Arts Centre,Regina,SK
The Alamodome,San Antonio,TX
San Diego Convention Center,San Diego,CA
Town and Country Resort & Convention Center,San Diego,CA
Atlantic City Convention Center,Atlantic City,NJ
San Jose McEnery Convention Center,San Jose,CA
Feria Exposicion de Santa Cruz,Santa Cruz de la Sierra,
The Westin Cleveland Downtown,Cleveland,OH
"Ottawa, ON",Ottawa,ON
"Fredericton, NB",Fredericton,NB
The Bonita Springs Poker Room,Bonita Springs,FL
"JW Marriott Turnberry, Miami, FL",Miami,FL
"Mississauga, ON",Mississauga,ON
Catamaran Resort Hotel & Spa,San Diego,CA
Marriott Marquis Hotel,New York,NY
Campo de exposición Agrobaja,Mexicali,
Polo Caruaru,Caruaru,
Henry B. Gonzalez Convention Center,San Antonio,TX
Wahabi Shriners Center,Jackson,MS
Hilton Raleigh North Hills,Raleigh,NC
Palacio de Convenciones de la Habana,Havana,
Del Mar Fairgrounds,Del Mar,CA
Cox Convention Center,Oklahoma City,OK
Club Xochimilco Acalli,Mexico City,
Mobile Civic Center,Mobile,AL
Texas Motor Speedway,Fort Worth,TX
Predio Ferial y Autódromo de San Nicolás,San Nicolás de los Arroyos,
Bend Xpo,East Moline,IL
Pasadena Convention Center,Pasadena,CA
"Winnipeg, MB",Winnipeg,MB
Prairieland Park,Saskatoon,SK
Fort Worth Convention Center,Fort Worth,TX
Greater Tacoma Convention & Trade Center,Tacoma,WA
Onalaska OmniCenter,Onalaska,WI
Arapahoe County Fairgrounds and Event Center,Denver,CO
Richmond Raceway Complex,Richmond,VA
"The Westin Santa Fe, Mexico City",Mexico City,
Missouri State Fairgrounds Publicity,Sedalia,MO
"Industry City, Brooklyn",New York,NY
Haddad's Inc.,Pittsburgh,PA
"Holiday Inn Hotel, Dedham, MA",Dedham,MA
Panama Convention Center,Panama City,
Ferndale Events Center,Bellingham,WA
Fenac Exhibition grounds,Novo Hamburgo,
Ontario Convention Center,Riverside,CA
Chippewa Valley Expo,Eau Claire,WI
Deschutes County Fair & Expo Center,Redmond,OR
Georgia International Convention Center - GICC,Atlanta,GA
Miami Airport & Convention Center,Miami,FL
"The Westin Houston, Memorial City",Houston,TX
Eastern States Exposition Grounds,West Springfield,MA
Bogotá,Bogotá,
"World Equestrian Center, Ocala, FL",Ocala,FL
Querétaro Centro de Congresos,Querétaro,
Hilton Stamford Hotel & Executive Meeting Center,Stamford,CT
Moncton Coliseum Complex,Moncton,NB
Buffalo Nigara Convention Center,Buffalo,NY
"Kitchener, ON",Kitchener,ON
Hickory Metro Convention Center,Lenoir,NC
Lewis & Clark County Fairgrounds,Helena,MT
Sheraton Bogotá,Bogotá,
"Harbour Station, Saint  John",Saint John,NB
Jackson County Fairgrounds & Ariculture Center,Jefferson,GA
Industry City,New York,NY
The Westin Lombard Yorktown Center,Chicago,IL
Egon Júlio Goelzer Exhibition Park,Três Passos,
Clyde Muse Center,Pearl,MS
"Hotel Riu Plaza, Panama",Panama City,
"Colorado Springs, CO",Colorado Springs,CO
Transamérica Expo Center,São Paulo,
Centre des Congrès de Québec,Quebec City,QC
Santiago,Santiago,
The Westin Rancho Mirage Golf Resort & Spa,Palm Springs,CA
San Francisco Marriott Marquis,San Francisco,CA
"Parque de exposições, Rio Pardo",Rio Pardo,
El Dorado International Airport,Bogotá,
Las Américas Resort and Convention Center,Cartagena,
Courtyard by Marriott Boston Downtown,Boston,MA
Maple Grove Community Center,Maple Grove,MN
Shopping RioMar,Recife,
Lima,Lima,
Hastings Armory,Hastings,MN
Calle de servicio 200,Puerto Montt,
Washington County Fair Grounds,West Bend,WI
Pennsylvania Convention Center,Philadelphia,PA
MSU Pavilion,Lansing,MI
Irving Convention Center,Irving,TX
Madison Marriott West,Madison,WI
Empower Field House,Foxborough,MA
Renaissance São Paulo Hotel,São Paulo,
Hilton Long Beach,Long Beach,CA
Danbury Sports Dome,Danbury,CT
Palmer Events Center,Austin,TX
Eagan Community Center,Eagan,MN
Carney Island Recreation & Conservation Area,Ocala,FL
Findlay Toyota Center,Prescott Valley,AZ
Gaylord Palms Resort & Convention Center,Orlando,FL
Medellin,Medellin,
National Western Complex,Denver,CO
Chicago Marriott O'Hare,Chicago,IL
Rosen Plaza Hotel,Orlando,FL
Downtown Flagler Drive,Palm Beach,FL
Whipp Farm,Cleburne,TX
Putah Canyon Recreation Area,Napa,CA
Hartford XL Center,Hartford,CT
