id,industry_name
319,Inventors
320,Electric & Hybrid Vehicles
321,Knowledge Based Systems & Artificial Intelligence
322,Natural & Organic Food
323,Micro & Nanotechnologies
324,"Stone, Marble & Ceramics"
325,Clothing Machines
326,"Minerals, Gemstones, Fossils"
327,Assembly and Handling Technology
328,Spatial Information Systems
329,Software Engineering
330,Mining Technologies
331,"Horse, Pony and Donkey"
332,Nursing & Elderly Care
333,Surface Treatment Technologies - Coatings
334,"Adhesion, Paints & Coating Technologies"
335,Power electronics
336,Halal Products
337,Clock & Watch-making
338,Data Computing Services
339,Welding
340,International Fairs
344,Electronic Documents Management
345,Tobacco
346,Software Tools for Building
