id,organizer_name,website,phone,email
980,Wine Industry Expo,http://www.wineindustryexpo.com/,+1 (707) 433-2557 0100,info@wineindustryexpo.com
981,IAEE Global Headquarters,http://www.iaee.com/,+1 (972) 458-8002,info@ieae.com
982,Generis Group,http://www.generisgp.com/,+1 (416) 298 7005,info@generisgp.com
983,Messe Frankfurt Argentina,http://www.argentina.messefrankfurt.com/,+54 11 4514 1400,info@argentina.messefrankfurt.com
984,Performance Racing Industry,http://www.performanceracing.com/,+1 (949) 499-5413,mail@performanceracing.com
985,Great Southern Gun & Knife Shows LLC,http://www.greatsoutherngunshow.com/,+1 (865) 671-4757,info@greatsoutherngunshow.com
986,MCH Foire Suisse (Holding) SA,http://www.messe.ch/,+41 58 200 20 20,info@messe.ch
987,The Show Producers,http://www.theshowproducers.com/,+1 (212) 404-2345,clientservices@theshowproducers.com
988,USCM (United States Conference of Mayors),http://www.usmayors.org/,+1 (202) 293-7330,info@usmayors.org
989,"Shamrock Productions, Inc",http://www.shamrockprod.com/,+1 (952) 431-9630,
990,Professional Beauty Association,http://www.probeauty.org/,+1 (480) 281-0424,info@probeauty.org
991,Bologna Fiere,http://www.bolognafiere.it/en/home,+39 (0)5 12 82 111,bolognafiere@bolognafiere.it
992,DreamHack Inc.,http://company.dreamhack.com/,,sales@dreamhack.com
993,Eastman Gun Shows Inc.,http://www.eastmangunshows.com/,+1 (229) 425-9881,gunshow@windstream.net
994,"L&L Exhibition Management, Inc.",http://www.homeshowcenter.com/,+1 (952) 881-5030,info@homeshowcenter.com
995,NMMA (National Marine Manufacturers Association),http://www.nmma.org/,+1 (312) 946-6220,webmaster@nmma.org
996,SCMA (Southern California Marine Association),http://www.scma.com/,+1 (714) 633-7581,terry@scma.com
997,FUN (Florida United Numismatists Inc.),http://www.funtopics.com/,+1 (407) 321-8747,cwibker@aol.com
998,"EBD Group, Inc.",http://www.ebdgroup.com/,+1 (760) 930 0500,contact@ebdgroup.com
999,GS Media & Events,http://www.gsevents.com/,+1 (941) 780-0538,vilma.fraguada@goodsam.com
1000,O'Loughlin Trade Shows,http://www.otshows.com/,+1 (503) 246-8291,info@otshows.com
1001,Surf Expo,http://www.surfexpo.com/,+1 (678) 781-7900,rturner@surfexpo.com
1002,AIAA (American Institute of Aeronautics and Astronautics),http://www.aiaa.org/,+1 (703) 264-7510,chriss@aiaa.org
1003,"Southeast Productions, Inc.",http://www.ncboatshows.com/,+1 (336) 855-0208,info@ncboatshows.com
1004,Advertising Specialty Institute (ASI),http://www.asicentral.com/,+1 (800) 546 1350,ideas@asicentral.com
1005,Mack Brooks Group,http://www.mackbrooks.com/,+44 (0)1727 814400,info@mackbrooks.co.uk
1006,Mack Brooks Exhibitions Inc.,http://www.mackbrooks.com/,+1 (781) 791 5011,visit@ice-x-usa.com
1007,"JBM & Associates, LLC",http://www.jbmshows.com/,+1 (864)-250-9713,
1008,US Antique Shows,http://www.usantiqueshows.com/,+1 (239) 732-6642,daphne.moss@usantiqueshows.com
1009,Home Show Consultants,http://www.homeshowconsultants.com/,+1 (951) 681-0644,showofficehsc@gmail.com
1010,Consumer Technology Association,http://www.cta.tech/,+1 (866) 858-1555,cta@cta.tech
1011,Professional Show Management,http://www.professionalshowmanagement.com/,+1 (954) 946-6164,info@proshow-inc.com
1012,Continuum Productions,http://www.continuumevents.ca/,+1 (905) 336-1331 Ext. 203,hsweet@continuumevents.ca
1013,WANADA (Washington Area New Automobile Dealers Association),http://www.wanada.org/,+1 (202) 237 7200,info@wanada.org
1014,CBSI (Canadian Boat Shows Inc.),http://www.canadianboatshows.com/,,
1015,Salon de l'agriculture,http://www.salondelagriculture.com/,+1 (450) 771-1226,infosalon@goxpo.ca
1016,CT Marine Trades Assoc.,http://www.ctmarinetrades.org/,+1 (860) 767-2645,
1017,NRF - National Retail Federation,http://www.nrf.com/,+1 (202) 783-7971,webmaster@nrf.com
1018,dmg :: events,http://www.dmgevents.com/,+971 4 438 0355,info@dmgevents.com
1019,dmg :: events energy,http://dmgenergyevents.co.uk/,+1 (403) 209-3552,info@dmgevents.com
1020,A3 (Association for Advancing Automation),http://www.a3automate.org/,+1 (734) 994 6088,info@a3automate.org
1021,"Interior Design Show, MMPI",http://www.interiordesignshow.com/,+1 (416) 599-3222,info@interiordesignshow.com
1022,Show Management,http://www.showmanagement.com/,+1 (954) 764-7642,
1023,"Internacionales de la Moda, S.A. de C.V.",http://www.intermoda.com.mx/en,+52 33 3122 4499,info@intermoda.com.mx
1024,"Renfro Productions & Management, Inc.",http://www.renfroproductions.com/,+1 (765) 641-7712,nfo@renfroproductions.com
1025,Première Vision S.A.,http://www.premierevision.com/,+33 (0)4 7260 6555,hello@premierevision.com
1026,South Dakota Agri-Business Association,http://www.sdaba.org/,+1 (605) 224-2445,info@sdaba.org
1027,GF Events Ltd.,http://gfevents.ca/,,
1028,CCAM (Corporation des Concessionnaires d'Automobiles de Montréal),http://www.ccam.qc.ca/,+1 (514) 331-6571,info@ccam.qc.ca
1029,"NPTA Alliance (Association for the paper, packaging, and supplies distribution channel)",http://www.gonpta.com/,+1 (631) 777 2223,larry@gonpta.com
1030,AF&PA (American Forest & Paper Association),http://www.afandpa.org/,+1 (202) 463-2700,info@afandpa.org
1031,Minnesota Home Shows,http://minnesotahomeshows.com/,+1 (952) 232-1765,contact@minnesotahomeshows.com
1032,Jacksonville Marine Association,http://www.boatjax.com/,+1 (904) 694-2073,jma@boatjax.com
1033,Halloween Costume Association,http://www.halloweencostumeassociation.org/,+1 (856) 380-6847,info@halloweencostumeassociation.org
1034,"William T. Glasgow, Inc.",http://wtglasgow.com/,+1 (708) 226 1300,brian@wtglasgow.com
1035,ASEV (American Society for Enology and Viticulture),http://www.asev.org/,+1 (530) 753-3142,
1036,CAWG (California Association of Winegrape Growers),http://www.cawg.org/,+1 (916) 379-8995,info@cawg.org
1037,HATA (Harrisburg Automotive Trade Association),http://www.hatacars.org/,+1 (717) 910-4090,JDevlin@paa.org
1038,Cleantech Venture Network,http://www.cleantech.com/,+1 (517) 223-9607,Karen@cleantech.com
1039,Inexmoda,http://www.inexmoda.org.co/,+57 4 311 59 15,contactcenter@inexmoda.org.co
1040,NAMM (National Association of Music Merchants),http://www.namm.com/,+1 (760) 438-8001,info@namm.com
1041,SFA (Speciality Food Association),http://www.specialtyfood.com/,+1 (212) 482-6440,
1042,"AVN Media Network, Inc.",http://www.avnmedianetwork.com/,+1 (818) 718.5788,aeeinfo@avn.com
1043,PGA Golf Exhibitions,http://www.pgaexpo.com/,+1 (203) 840 5628,inquiry@pga.reedexpo.com
1044,Zunzun Education Services Ltd,http://www.cubapros.org/,+1 (604) 565 5647,hello@cubaexplorer.com
1045,Couromoda Feiras Comerciais,http://www.couromoda.com/,+55 (11) 3897 6100,couromoda@couromoda.com.br
1046,"EnerCom, Inc",http://www.enercominc.com/,+1 (303) 296 8834,conferences@enercominc.com
1047,Milanez & Milaneze,http://www.milanezmilaneze.com.br/,+55 27 3337-6855,geraldo@vitoriastonefair.com.br
1048,Palm Beach Show Group,http://www.palmbeachshow.com/,+1 (561) 822-5440,info@palmbeachshowgroup.com
1049,PPPC (Pulp and Paper Products Council),http://www.pppc.org/,+1 (514) 861-8823,events@pppc.org
1050,"Southern Shows, Inc.",http://www.southernshows.com/,+1 (704) 376-6594,dzimmerman@southernshows.com
1051,ABIMAD (Brazilian Contemporary Home Furnishings Association),http://www.abimad.com.br/,+55 (11) 5505-1214,abimad@abimad.com.br
1052,NewCom Media Inc.,http://newcom.ca/,+1 (416) 614-2200,tiffany@newcom.ca
1053,Greenband Enterprises,http://www.greenband.com/,+1 (801) 485-7399,showinfo@greenband.com
1054,CGTA (Canadian Gift & Tableware Association),http://www.cangift.org/en,+1 (416) 679-0170,info@cangift.org
1055,CURVExpo,http://www.curvexpo.com/,+1 (203) 698 7470,info@curvexpo.com
1056,Eurovet,http://www.eurovet.fr/,+33 (0)1 47 56 32 32,eurovet@eurovet.fr
1057,Asheville Home Builders Association,http://ashevillehba.com/,+1 (828) 299-7001,info@ashevillehba.com
1058,NAHB (National Association Home Builders),http://www.nahb.com/,+1 (202) 266-8200,info@nahb.com
1059,WRA (World Refining Association),http://www.wraconferences.com/,+44 (0) 1242 529 090,wra@theenergyexchange.co.uk
1060,Rock Creek Renegades,http://www.rockcreekrenegades.com/,+1 (402) 477 6409,amoody1@neb.rr.com
1061,"Midessa Boat, RV, Sport & Gun Show",http://midessaboatshow.net/,+1 (432) 381-3324,jramseynrg@aol.com
1062,Northwest Arkansas Home Builders Association,http://www.nwaparadeofhomes.com/,+1 (479) 751-6688,info@nwabuilders.com
1063,Castle Events LLC,http://newenglandhomeshows.com/,+1 (508) 823-0389,richcastig@comcast.net
1064,The Mart,http://themart.com/,+1 (312).527.4141,propertymanager@themart.com
1065,Lingerie Americas Inc. (France),http://www.lingerie-americas.com/,+33 (0)1 42 96 22 35,info@lingerie-americas.com
1066,NRA - National Rifle Association of America,http://www.nrahq.org/,+1 (800) 672-4868,GAOS@nrahq.org
1067,"3DR Holdings, LLC",http://3drholdings.com/,+1 (212) 389 2000,info@3dpfund.com
1068,"ACICAM (Asociación Colombiana de Industriales del Calzado, el Cuero y sus Manufacturas)",http://acicam.org/,+57 (1) 601 281 6400,acicam@acicam.org
1069,Motorcycle Industry Council,http://www.mic.org/,+1 (949) 727-4211,bfiner@mic.org
1070,SLAS (Society for for Laboratory Automation and Screening),http://www.slas.org/,+1 (630) 256-7527,bsacks@slas.org
1071,Fredericksburg Expo and Conference Center,http://www.fredericksburgexpocenter.com/,+1 (540) 548.5555,events@fred-center.com
1072,Silicon Valley Auto Dealers Association,http://www.svautodealers.com/,+1 (408) 437.7557,ssmith@svautodealers.com
1073,"Catersource Magazine, Conference & Tradeshow",http://www.catersource.com/,+1 (877) 932 3632,info@catersource.com
1074,AAOS (American Academy of Orthopaedic Surgeons),http://www.aaos.org/,+1 (847) 823.7186,meeting@aaos.org
1075,Canadian Concrete Expo,http://canadianconcreteexpo.com/,+1 (226) 363-0550,sue@exposition.com
1076,Expo Management Inc.,http://www.exposition.com/,+1 (416) 927-1376,info@exposition.com
1077,Globe Foundation of Canada,http://www.globe.ca/,+1 (604) 775-7300,info@globe.ca
1078,Marine Trades Association of New Jersey,http://mtanj.org/,+1 (732) 292-1051,info@mtanj.org
1079,Picaflor Sarl,http://www.iloveplaytime.com/,,sebastien@iloveplaytime.com
1080,"International Agri-Center, Inc.",http://www.internationalagricenter.com/,+1 (559) 688-1030,events@farmshow.org
1081,Boating Industry Association of Upstate NY,http://www.cnybia.com/,+1 (315) 447-9286,bia@twcny.rr.com
1082,Crafts America LLC,http://www.craftsamericashows.com/,+1 (203) 254-0486,info@craftsamericashows.com
1083,Triangle Management Services Ltd.,http://www.triangle.eu.com/,+44 (0)1628 642 910,team@triangle.eu.com
1084,Farm Progress,http://marketing.farmprogress.com/,+1 (212) 600-3668,shows@farmprogress.com
1085,Euromedicom,http://www.euromedicom.com/en,+33 (0)1 58 56 74 00,registration@euromedicom.com
1086,EREF (Environmental Research & Education Foundation),http://erefdn.org/,+1 (919) 861-6876,foundation@erefdn.org
1087,Western Veterinary Conference,http://wvc.org/,+1 (702) 739.6698,info@wvc.org
1088,ConFoo,http://confoo.ca/,+1 (888) 392-0909,board@confoo.ca
1089,"Fox Valley Outdoor Enthusiasts, LLC",http://www.rvboatmainevent.com/,+1 (920) 676-7903,info@rvboatmainevent.com
1090,AEMA (Asphalt Emulsion Manufacturers Association),http://www.aema.org/,+1 (410) 267-0023,krissoff@aema.org
1091,Pittsburgh Conference,http://www.pittcon.org/,+1 (412) 825-3220,expo@pittcon.org
1092,Harrisburg RV Show,http://www.parvsupershow.com/,,
1093,ABUP (Associação Brasileira das Empresas de Utilidades e Presentes),http://www.abup.com.br/,+55 11 4010-5200,abup@abup.com.br
1094,Beacon Events Ltd,http://www.beaconevents.com/,+852 2531 6100,info@beaconevents.com
1095,Home Builders Association of Metropolitan Portland,http://www.homeshowpdx.com/,+1 (503) 479-2660,homeandgardenshows@hbapdx.org
1096,"Equestrian Promotions, Inc",http://www.horseworldexpo.com/,+1 (301) 916-0852,info@horseworldexpo.com
1097,Fexpocruz,http://www.fexpocruz.com.bo/,+591 3 353-3535,feria@fexpocruz.com.bo
1098,Anato (Asociación Colombiana de Agencias de Viajes y Turismo),http://www.anato.org/,+57 (1) 6107099,anato@anato.org
1099,Canadian Golfexpo,http://www.canadiangolfexpo.ca/,+1 (﻿866) 626-4262,gchambers@ngcoa.ca
1100,Digital Dentistry Society,http://digital-dentistry.org/,,info@digital-dentistry.org
1101,Internet Society,http://www.isoc.org/,+1 (703) 648-9888,isoc@isoc.org
1102,Bio (Biotechnology Industry Organization),http://www.bio.org/,+1 (202).962.9200,cbeckman@bio.org
1103,"Patronato de AgroBaja, A. C.",http://www.agrobaja.com/,+52 01 686 592-1186,info@agrobaja.com
1104,Emerald City Comicon Corp.,http://www.emeraldcitycomicon.com/,+1 (425).744.2767,info@emeraldcitycomicon.com
1105,"Endeavor Business Media, LLC",http://www.endeavorbusinessmedia.com/,+1 (800) 547-7377,
1106,Vinexposium,http://www.vinexposium.com/,+33 (0)1 76 77 11 11,info@vinexposium.com
1107,Comexposium,http://www.comexposium.com/,+33 (0)1 76 77 11 11,dcom@comexposium.com
1109,MPIF (Metal Powder Industries Federation),http://www.mpif.org/,+1 (609) 452-7700,info@mpif.org
1110,MIC (Ministerio de la Informatica y las Comunicaciones de Cuba),http://www.mic.gov.cu/,,informaticahabana@mic.cu
1111,Cervefest México,http://www.cervefest.com.mx/,+55 6964 5192,ventas@cervefest.com.mx
