id,event_name,description,audience,cycle,website,email,country,date_uncertain,date,duration_days,venue_id
4494,"HITS CHAMPIONSHIP JUNE LAKE, CA 2024","Fitness Expo in June Lake, CA region. HITS CHAMPIONSHIP JUNE LAKE is a sporting event for running, hiking, swimming, biking featuring wellness & fitness seminars, nutritionists, training experts, all fitness products & services for Triathlon",Public,once a year,http://alpha.win/event/june-lake-ca,info@alpha.win,USA,False,2024-08-17,1,1192
4495,"BALTIMORE ART, ANTIQUE & JEWELRY SHOW 2024","Baltimore Art, Antique & Jewelry Show",Public,once a year,http://www.baltimoresummershow.com/,Info@palmbeachshow.com,USA,False,2024-08-29,4,761
4496,INTERSOLAR SUMMIT BRASIL SÃO PAULO 2024,'Intersolar Summit Brasil São Paulo' addresses leading local and international experts on solar power and renewable energy in the region,Public,once a year,http://www.intersolar.net.br/en/home,fsf@arandanet.com.br,Brazil,False,2024-08-27,3,451
4497,STAMP & SCRAPBOOK EXPO EDISON 2024,"Art & Craft fair in Edison, N. STAMP & SCRAPBOOK EXPO EDISON features craft show, craft shopping, paper craft, clay modelling, abstract arts, Art & Craft workshop, craft tools, creative ideas and crafts for kids",Public,once a year,http://www.scrapbookexpo.com/,Info@scrapbookexpo.com,USA,False,2024-08-23,2,762
4498,EXPODRINKS CARIBE 2024,"Fair of wine, whiskey, beer and other spirits. Expo Bebidas is the fair that allows visitors to know, taste and learn about the culture of good drinking and its pairings",Public,once a year,http://expodrinks.co/,info@corferias.com,Colombia,True,2024-09-01,1,609
4499,ENERSOLAR + BRAZIL 2024,International Fair of Solar Energy Technologies,Public,once a year,http://feiraecoenergy.com.br/,comercial@fieramilano.com.br,Brazil,True,2024-09-01,1,1072
4500,"RETRO EXPO - ALLEN, TX 2024","Fair for Vintage and Collector's items. Comics, Toys, Records, Games, Movies, Cards, Apparel and more...",Public,once a year,http://www.heritageeventcompany.com/,heritageeventco@gmail.com,USA,True,2024-09-01,1,1193
3988,GAT EXPO 2024,Trade show for national and international manufacturers and operators of the gaming sector,Public,once a year,http://www.gatexpo.net/en,info@gatexpo.net,Colombia,False,2024-04-09,3,966
4501,EXPOALIMENTARIA PERU 2024,"The largest international trade show in the region that highlights food and beverages, machinery, equipment, inputs, containers and packaging, services, restaurants, and gastronomy",Public,once a year,http://www.expoalimentariaperu.com/,expoalimentaria@adexperu.org.pe,Peru,True,2024-09-01,1,430
4502,PERUMIN - CONVENCION MINERA 2024,"Biennial Mining Convention. PERUMIN seeks to strengthen the specialized professional development of the participants and disseminate new knowledge that is the result of research, innovation and the application of technology in mining operations",Public,once a year,http://www.convencionminera.com/,convencionminera@iimp.org.pe,Peru,True,2024-09-01,1,1194
4503,FAIRGROUNDS SOUTHERN IDEAL HOME SHOW (FALL) 2024,"Raleigh, NC Home Show. Innovative Products and Hundreds of Experts all Under One Roof",Public,once a year,http://raleighfairgroundshomeshow.com/,rosannah@marketplaceevents.com,USA,True,2024-09-01,1,725
4504,FESTIVAL INTERNATIONAL DE LA POÉSIE DE TROIS-RIVIÈRES 2024,Poetry international Festival,Public,once a year,http://www.fiptr.com/,mbaribeau@fiptr.com,Canada,True,2024-09-01,1,1195
4505,HIS - HEALTHCARE INNOVATION SHOW 2024,HIS - Healthcare Innovation Show is the major exhibition for technologies and innovations in the healthcare industry in Brazil and Latin America,Public,once a year,http://his.saudebusiness.com/pt/home.html,visitante.his@informamarkets.com.br,Brazil,True,2024-09-01,1,440
4506,GOODGUYS LONE STAR NATIONALS FORT WORTH 2024,"Finest Car Fair in Texas. GOODGUYS LONE STAR NATIONALS FORT WORTH features attractive hot rods, muscle automobiles, classic vehicles, vintage models, trucks, Tools & kits, Street machines, automotive, used cars, customized personal vehicles",Public,once a year,http://www.good-guys.com/,,USA,True,2024-09-01,1,914
4507,GOODGUYS COLORADO NATIONALS 2024,"Finest Car Fair in Loveland. GOODGUYS COLORADO NATIONALSfeatures attractive hot rods, muscle automobiles, classic vehicles, vintage models, trucks, Tools & kits, Street machines, automotive, used cars, customized personal vehicles",Public,once a year,http://www.good-guys.com/,,USA,True,2024-09-01,1,831
4508,EL GRAN SALÓN FERRETERO 2024,"GRAN SALON FERRETERO is the great Colombian hardware fair, which aims to create an ideal networking and sales environment for distributors, hardware stores, suppliers, entrepreneurs, brands...",Public,once a year,http://www.gransalonferretero.com/,info@corferias.com,Colombia,True,2024-09-01,1,424
4509,EXPO CAFÉ 2024,The most important coffee trade show in Mexico,Public,once a year,http://www.expocafe.com.mx/,info@expocafe.mx,Mexico,True,2024-09-01,1,1071
4510,NAIAS DETROIT - NORTH AMERICAN INTERNATIONAL AUTO SHOW 2024,"Auto Show in North America. NAIAS attracts hundreds of thousands of visitors, including many environmental and automotive visionaries, who explore hundreds of production vehicles, Luxury & concept cars, electic & hybrid vehicules",Public,once a year,http://www.naias.com/,,USA,True,2024-09-01,1,1196
4511,EXPO RESTAURANTES 2024,Mexican Trade Fair for Hotels and Restaurants,Public,once a year,http://www.exporestaurantes.mx/,claudia.valdes@ejkrausetarsus.mx,Mexico,True,2024-09-01,1,1071
4512,INDUSTRIAL AUTOMATION NORTH AMERICA 2024,International Industrial Automation show,Public,every 2 years,http://ia-northamerica.com/,iana@hfusa.com,USA,True,2024-09-01,1,497
4513,STORM EXPO USA - CALIFORNIA 2024,"The Storm Expo USA is the leading hurricane and storm prep, management, and recovery event, showcasing the latest tools, strategies, and insights among investment and global industry leaders",Public,once a year,http://www.thestormexpo.com/,inquiries.ndem@fortem-international.com,USA,True,2024-09-01,1,803
4514,FERIA DEL HOGAR 2024,"Home Fair. Furniture, kitchenware, clothing, lingerie, leather and footwear, household appliances, technology and safety, hardware, design, decoration...",Public,once a year,http://feriadelhogar.com/,info@corferias.com,Colombia,True,2024-09-01,1,424
4515,FERIA INTERNACIONAL DE BOGOTA 2024,Bogota International Industrial Fair,Public,every 2 years,http://www.feriainternacional.com/,info@corferias.com,Colombia,True,2024-09-01,1,424
4516,FREDERICKSBURG PET SHOW 2024,"Pet Show. Fredericksburg Pet Show is a family-fun event bringing together pet owners, lovers and enthusiasts with vendors that represent all aspects of the pet world such as manufacturers, retailers, breeders, hobbyists, clubs, veterinarians",Public,once a year,http://www.bmgevents.com/,bmcloughlin@bmg1.com,USA,True,2024-09-01,1,688
3267,FLORIDA GUN & KNIFE SHOW DELAND 2023,"Arms & Ammunition fair. FLORIDA GUN & KNIFE SHOW IN DELAND presents all types of firearms, combat knives & swords, fishing gears, antique pistols, cartridges, hunting accessories, gun cases & safes, collectibles, self protection weapons and permit course",Public,unknown,http://flgunshows.com/shows,email@flgunshows.com,USA,False,2023-12-02,2,697
3271,KNOXVILLE GUN SHOW EXPO CENTER 2023,"Guns & knife show. KNOXVILLE GUN SHOW features shooting rifles, antique swords & knives, handguns, shotguns, collectible firearm, personal defense weapons, military surplus, fishing & hunting accessories, survival gears, gun cases and safe, holsters",Public,unknown,http://rkshows.com/events/category/tennessee,rkshows@yousq.net,USA,False,2023-12-02,2,698
3274,PERFORMANCE RACING INDUSTRY SHOW 2023,Trade Show for Hardcore Auto Racing Products. PERFORMANCE RACING INDUSTRY SHOW is a trip to Indianapolis and an experience the absolute latest in performance technology and products all under one roof,Public,once a year,http://www.performanceracing.com/tradeshow,mail@performanceracing.com,USA,False,2023-12-07,3,699
3275,SPRINGFIELD GUN SHOW 2023,"Guns & knife show. SPRINGFIELD GUN SHOW features personal defense weapons, war relics, rifles, handgun, shotgun, pistol, collectible firearm, antique knife, fishing & hunting accessories, survival gears, military surplus, holsters, gun cases and gun safe",Public,unknown,http://rkshows.com/events/category/missouri,rkshows@yousq.net,USA,False,2023-12-09,2,700
3276,JACKSON GUNS & KNIFE SHOW 2023,"Self Defence Weapon Fair. JACKSON FALL GUNS & KNIFE SHOW features shooting rifles, gun parts, Knife & swords, antique guns, revolvers, holsters, laser sights, ear plugs, hunting gears, display cases, ammo, war relics, Reloading supply and equipment",Public,unknown,http://www.greatsoutherngunshow.com/calendar.htm,info@greatsoutherngunshow.com,USA,False,2023-12-09,2,701
3277,MUNCIE GUNS & KNIFE SHOW 2023,"Arms Expo. MUNCIE GUNS & KNIFE SHOW features shotguns, handguns, hunting rifle, combat knife and swords, collector & antique guns, Indian artifacts, muzzle load, ear plugs, flashlight, safety equipment, holsters, war relics and gun parts",Public,6 times a year,http://www.centralindianagunshows.com/events,cigshows@gmail.com,USA,False,2023-12-09,2,702
3278,MARIETTA GUN SHOW 2023,"Guns & knife show. MARIETTA GUN SHOW features handguns, shotguns, shooting rifles, collectible guns, all size of knives, war relics, pistols, hunting accessories, fishing gears, military surplus, holsters, gun safes, gun cases, survival gears",Public,unknown,http://rkshows.com/events/category/georgia,rkshows@yousq.net,USA,False,2023-12-09,2,703
3279,KENNER GUNS & KNIFE SHOW 2023,"Arms & Ammunition Fair. KENNER SUMMER GUNS & KNIFE SHOW features hunting knife, shooting rifle, rifle spoke, sharpening tool, outdoor equipment, reloading supplies, hunting & fishing gears, holsters, Flashlight, hunting boots and Camouflage Related item",Public,unknown,http://www.greatsoutherngunshow.com/calendar.htm,info@greatsoutherngunshow.com,USA,False,2023-12-16,2,704
3280,FLORIDA GUN & KNIFE SHOW EUSTIS 2023,"Guns & Weapons fair. FLORIDA GUN & KNIFE SHOW IN EUSTIS features shooting rifles, all types of knives, shotguns, self -defense weapons, fishing & hunting gears, holsters, antique pistols, collectible firearms and personal weapon permit course",Public,3 times a year,http://flgunshows.com/shows,email@flgunshows.com,USA,False,2023-12-09,2,705
3281,DESTINATION MEXICO + LATIN AMERICA 2023,The premier hosted-buyer event for suppliers to connect with North American meeting professionals sourcing programs in Mexico and Latin America,Public,once a year,http://www.northstarmeetingsgroup.com/Events/Destination-Mexico,cbinder@ntmllc.com,Mexico,False,2023-12-12,4,706
3282,ART BASEL MIAMI BEACH 2023,International Art Fair (20th Century Art),Public,once a year,http://www.artbaselmiamibeach.com/,art@messebasel.ch,USA,False,2023-12-08,3,707
3283,ORIGINAL FORT WORTH GUN SHOW 2023,"Arms & Ammunition Fair. ORIGINAL FORT WORTH GUN SHOW SUMMER features self protection weapons, shooting rifle, shotguns, reloading supplies, combat swords, bulletproof jackets, ear plugs, holsters, carbines, laser sights and hunting knives",Public,unknown,http://www.premiergunshows.com/shows/dfw-original-fort-worth-gun-show,Info@PremierGunShows.com,USA,False,2023-12-30,2,579
3284,EXPOARTESANIAS 2023,Expoartesanías is the main craft fair in Latin America. Its goal is to promote high quality traditional crafts,Public,once a year,http://www.expoartesanias.com/,expoartesanias@corferias.com,Colombia,False,2023-12-06,14,424
3285,SMALL BUSINESS EXPO ATLANTA 2023,"Business Trade Show. Small Business Expo brings together thousands of business owners and decision-makers to network, attend business critical workshops, build new business relationships and shop from vendors that provide unique products & services",Public,once a year,http://www.thesmallbusinessexpo.com/city/atlanta,info@theshowproducers.com,USA,False,2023-12-13,1,708
3286,CONFERENCE OF U.S. MAYORS 2024,Conference of U.S. Mayors,Public,twice a year,http://www.usmayors.org/meetings,cedwards@usmayors.org,USA,True,2024-01-01,1,422
3287,GUNS & KNIFE SHOW MARION 2023,"Arms and Ammunition fair. GUNS & KNIFE SHOW MARION presents all types of firearms, training, combat knives & swords, fishing gears, antique pistols, cartridges, hunting accessories, gun cases & safes, self protection weapons and outdoor equipment",Public,once a year,http://www.gemcapitolshows.com/,tiamalle@aol.com,USA,False,2023-12-09,2,709
3288,ARROWHEAD ICE FISHING AND WINTER SHOW 2023,Arrowhead Ice Fishing and Winter Show,Public,once a year,http://www.shamrockprod.com/,,USA,False,2023-12-08,3,710
3289,ASHLAND GUN SHOW 2023,"Guns & knife show. ASHLAND GUN SHOW features handguns, shotguns, rifles, collectible guns, antique knife, personal defense weapons, hunting accessories, fishing gears, military surplus, outdoor equipment",Public,twice a year,http://rkshows.com/events/category/kentucky,rkshows@yousq.net,USA,False,2023-12-09,2,711
4517,JACKSONVILLE HOME + PATIO SHOW (FALL) 2024,"Jacksonville, FL Home and PatioShow. The Jacksonville Home & Patio Show reveals the newest in Home, Remodelling, Home Decor, and More! The show offers the opportunity to meet hundreds of experts and experience thousands of products & services",Public,once a year,http://jacksonvillefallhomeshow.com/,hillaryl@marketplaceevents.com,USA,True,2024-09-01,1,719
4518,HARVEST FESTIVAL - ORIGINAL ART & CRAFT - LAS VEGAS 2024,"Original Art & Craft Show. The Harvest Festival is an original Art & Craft Show with 24, 000 handmade American art & crafts in hundreds of booths, all day entertainment, and kids activity center",Public,once a year,http://harvestfestival.com/las-vegas-1,info@harvestfestival.com,USA,True,2024-09-01,1,1054
4519,FICA - FERIA INDUSTRIAL DEL CARAIBE 2024,Industrial Fair of the Caribbean. FICA is the platform for business and industrial contacts that promotes the technological and commercial exchange of goods and services for the productive industries of the Caribbean region,Public,once a year,http://fica.com.co/,info@corferias.com,Colombia,True,2024-09-01,1,609
3230,GRAND STRAND GIFT & RESORT MERCHANDISE SHOW 2023,"Gift Fair. The annual Grand Strand Gift & Resort Merchandise Show is the largest, longest-running coastal resort gift show in the nation, featuring 800+ booths, retailers can now explore an even greater selection of products",Public,once a year,http://www.grandstrandgiftshow.com/,info@clarionevents.com,USA,False,2023-12-03,4,540
4520,HEAT & FIRE EXPO USA - CALIFORNIA 2024,"The Heat & Fire USA is the leading wildfire prep, management, and recovery event, showcasing the latest tools, strategies, and insights among investment and global industry leaders",Public,once a year,http://www.theheatandfireexpo.com/,inquiries.ndem@fortem-international.com,USA,True,2024-09-01,1,803
3233,LIVE DESIGN INTERNATIONAL (LDI) 2023,Entertainment Technology Show & Conference. Live Design International (LDI) is Where You’ll Find the Broadest Cross-Section of the Live Design Marketplace,Public,once a year,http://www.ldishow.com/,patricia.arescy@informa.com,USA,False,2023-11-29,7,429
4521,EXPOCRUZ 2024,Santa Cruz International Fair,Public,once a year,http://fexpocruz.com.bo/ferias/expocruz,feria@fexpocruz.com.bo,Bolivia,True,2024-09-01,1,895
4522,HOUSTON HOME + GARDEN SHOW (FALL) 2024,"Houston, TX Home & Garden Show",Public,once a year,http://houstonfallhomeandgardenshow.com/,alisonf@mpeshows.com,USA,True,2024-09-01,1,824
