id,venue_name,city,state
689,Sonoma County Fairgrounds,Santa Rosa,CA
690,"Hotel Grand Premium Brisa, Salvador - Bahia",Salvador da Bahia,
691,Bossier City Civic Center,Bossier City,LA
692,Floyd County 4-H Fairground,New Albany,IN
693,Kay Bailey Hutchison - Dallas Convention Center,Dallas,TX
694,"Surrey, BC",Surrey,BC
695,We-Ko-Pa Resort & Conference Center,Scottsdale,AZ
696,"American Legion Building, Jacksonville",Camp Lejeune,NC
697,Volusia County Fairgrounds Deland,DeLand,FL
698,Knoxville Expo Center,Knoxville,TN
699,Indiana Convention Center,Indianapolis,IN
700,Ozark Empire Fairgrounds & Event Center,Springfield,MO
701,Mississippi Trademart Center,Jackson,MS
702,Delaware County Fairgrounds,Muncie,IN
703,Jim R. Miller Park & Event Center,Marietta,GA
704,Pontchatrain Convention & Civic Center,New Orleans,LA
705,Lake County Fairgrounds Eustis,Orlando,FL
706,Marriott Puerto Vallarta Resort & Spa,Puerto Vallarta,
707,Miami Beach Convention Center,Miami,FL
708,Sheraton Atlanta Hotel,Atlanta,GA
709,"Municipal Event Center, Marion",Marion,NC
710,Duluth Entertainment Convention Center,Duluth,MN
711,El Hasa Shrine Temple,Ashland,KY
712,Thurston County Fairgrounds,Lacey,WA
713,MID-TN Expo Center,Murfreesboro,TN
714,South Carolina State Fairgrounds,Columbia,SC
715,Palm Beach County Convention Center,Palm Beach,FL
716,"New Orleans, LA",New Orleans,LA
717,Las Vegas Motor Speedway,Las Vegas,NV
718,VFW Post 534,Joplin,MO
719,Prime Osborn Convention Center,Jacksonville,FL
720,Marymount Event Center,Tacoma,WA
721,"National Guard Armory, Wilmington",Wilmington,NC
722,"National Guard Armory, Lenoir, TN",Lenoir,TN
928,"Atlanta, GA",Atlanta,GA
723,Johnson County Sheriff's Posse,Cleburne,TX
724,Expo Center Shawnee - Heart of Oklahoma Exposition Center,Oklahoma City,OK
725,NC State Fairgrounds,Raleigh,NC
726,"Aqua Hotel, Miami",Miami,FL
727,Lafayette Event Center,Lafayette,LA
728,Kentucky Exposition Center,Louisville,KY
729,Faulkner County Fairgrounds,Conway,AR
730,"Toronto, ON",Toronto,ON
731,Georgia World Congress Center,Atlanta,GA
732,DeChoice Banquet Hall and Events,Forest Park,GA
733,Haywood County Fairgrounds,Asheville,NC
734,Dulles Expo & Conference Center,Fairfax,VA
735,Banquets of Minnesota,Fridley,MN
736,Howard County Fairgrounds,Baltimore,MD
737,Atlanta Exposition Center,Atlanta,GA
738,Savannah International Trade & Convention Center,Savannah,GA
739,Williamson County Expo Center,Georgetown,TX
740,Kentucky International Convention Center,Louisville,KY
741,Hilton San Francisco Union Square,San Francisco,CA
742,Renaissance Schaumburg Hotel,Schaumburg,IL
743,Portland Expo Center,Portland,OR
744,Norris-Penrose Event Center,Colorado Springs,CO
745,Charlotte County Fairgrounds,Port Charlotte,Fl
746,Austin Convention Center,Austin,TX
747,Western N.C. Agricultural Center,Fletcher,NC
748,"Orlando, FL",Orlando,FL
749,"Sarasota, FL",Sarasota,FL
750,Monona Terrace Convention Center,Madison,WI
751,Ohio Expo Center & State Fair,Columbus,OH
752,Brittlebank Park and Bristol Marina,Charleston,SC
753,Iron 23,New York,NY
754,Columbia Metropolitan Convention Center,Columbia,SC
755,Riverside Convention Center,Riverside,CA
756,New Braunfels Civic & Convention Center,New Braunfels,TX
757,Sturbridge Host Hotel & Conference Center,Sturbridge,MA
758,Lee Civic Center,Fort Myers,FL
759,Suburban Collection Showplace,Novi,MI
760,Toyota Oakdale Theatre,Bristol,CT
761,Baltimore Convention Center,Baltimore,MD
762,New Jersey Convention & Exposition Center,Edison,NJ
763,Greenville Convention Center,Greenville,NC
764,Boston Convention & Exhibition Center,Boston,MA
765,Best Western Inn At Hunt's Landing,Matamoras,PA
766,Canadian Warplane Heritage Museum,Hamilton,ON
767,Fox Cities Exhibition Center,Appleton,WI
768,Meadow Event Park,Richmond,VA
769,Ernst & Young Centre,Ottawa,ON
770,Miami Marine Stadium Park & Basin,Miami,FL
771,Espace Saint-Hyacinthe - Centre BMO,Saint-Hyacinthe,QC
772,Earth Expo & Convention Center,Norwich,CT
773,Charlotte Convention Center,Charlotte,NC
774,"RBC Convention Centre, Winnipeg",Winnipeg,MB
775,Caesars Palace,Las Vegas,NV
