company_name,address,phone,url,review_score,review_count
Absolute Roof Solutions,1676 W 75th Ave,(604) 263-0334,https://absoluteroof.ca,4.7,134
3 King's Roofing and Renovations Inc.,4323 Inverness St,(778) 907-1008,https://www.roofing-vancouver.ca,4.5,44
Max Roofing,2922 East Kent Ave S #15,(778) 800-6295,https://maxroofingbc.ca,5.0,45
Cambie Roofing Contractors Ltd,1367 East Kent Ave N,(604) 261-1111,https://cambieroofing.com,4.1,74
Cooper Roofing,1285 W Broadway #600,(604) 674-0319,https://cooperroofs.ca,4.8,114
Tymey Roofing,Roofing contractor,(604) 376-5101,,5.0,43
Kerrisdale Roofing And Drains Ltd.,8279 Ross St,(604) 360-2114,http://kerrisdaleroofinganddrains.com,4.7,26
Fraserview Roofing and Renovation,5907 Culloden St,(604) 897-3614,http://www.fraserviewroofnreno.com,4.6,21
GVRD Roofing Inc,1917 W 4th Ave,(604) 445-4873,https://gvrdroofing.com,4.7,104
Millwall Roofing,2090 W 1st Ave,(604) 763-1930,http://www.millwallroofing.com,4.9,124
Komo Roofing,1917 W 4th Ave #118,(778) 888-0449,http://www.komoroofing.com,4.8,24
Crown Roofing LTD,11860 Hammersmith Way Unit 118,(604) 370-6288,https://www.crownroofingltd.com,4.8,55
Regan Roofing Ltd,8838 Heather St,(604) 324-1574,https://www.reganroofing.ca,4.4,7
GoodVans Roofing,2161 W 33rd Ave,(778) 858-8681,http://www.gvroofs.ca,4.9,24
Penfolds Roofing,1268 Vernon Dr,(604) 254-4663,https://www.penfoldsroofing.com,4.5,115
Stormrider Roof Repairs,3665 Kingsway Suite # 300,(604) 803-2808,https://stormrider604.com,4.6,25
