company_name,address,phone,url,review_score,review_count
Max Roofing,2922 East Kent Ave S #15,(778) 800-6295,https://maxroofingbc.ca,5.0,45
Absolute Roof Solutions,1676 W 75th Ave,(604) 263-0334,https://absoluteroof.ca,4.7,138
Cambie Roofing Contractors Ltd,1367 East Kent Ave N,(604) 261-1111,https://cambieroofing.com,4.1,74
Fraserview Roofing and Renovation,5907 Culloden St,(604) 897-3614,http://www.fraserviewroofnreno.com,4.6,21
Kerrisdale Roofing And Drains Ltd.,8279 Ross St,(604) 360-2114,http://kerrisdaleroofinganddrains.com,4.7,26
3 King's Roofing and Renovations Inc.,4323 Inverness St,(778) 868-1906,https://www.roofing-vancouver.ca,4.5,44
Cooper Roofing,1285 W Broadway #600,(604) 674-0319,https://cooperroofs.ca,4.8,120
Laurentian Roofing Inc.,8165 Main St,(604) 345-7663,https://www.laurentianroofing.com,5.0,7
Next Level Roofing & Solar,6683 Tantalus Ln,(236) 300-8191,http://www.nextlevelroofing.ca,4.8,13
Regan Roofing Ltd,8838 Heather St,(604) 324-1574,https://www.reganroofing.ca,4.4,7
GoodVans Roofing,2161 W 33rd Ave,(778) 858-8681,http://www.gvroofs.ca,4.9,27
Stormrider Roof Repairs,3665 Kingsway Suite # 300,(604) 803-2808,https://stormrider604.com,4.6,26
Millwall Roofing,2090 W 1st Ave,(604) 763-1930,http://www.millwallroofing.com,4.9,125
GVRD Roofing Inc,1917 W 4th Ave,(604) 445-4873,https://gvrdroofing.com,4.7,105
M & B Roofing Ltd.,11180 Bridgeport Rd,(778) 862-7305,http://www.mbroofing.ca,5.0,17
Penfolds Roofing,1268 Vernon Dr,(604) 254-4663,https://www.penfoldsroofing.com,4.5,114
All Coast Roofing,3478 Pandora St,(778) 229-0250,http://www.allcoastroofing.ca,4.9,53
Vantage Roofing Ltd. - Burnaby Roofers & Roofing Contractors,Roofing contractor,(778) 743-1311,https://vantageroofingltd.ca,5.0,20
All Star Roofing,422 Richards St #170,(778) 951-4600,http://allstarroofingvancouver.ca,5.0,45
Dignity Roofing & Exteriors,9180 Hemlock Dr,(604) 330-9903,http://dignityroofing.ca,5.0,54
Komo Roofing,1917 W 4th Ave #118,(778) 888-0449,http://www.komoroofing.com,4.8,24
Roy Dennis Roofing,2420 Viscount Way,(604) 278-0442,http://roydennisroofing.ca,4.6,33
Sunset Roofing & Construction,997 Seymour St,(604) 704-9588,http://www.sunsetroofing.ca,4.5,79
Villa Roofing,8380 St George St #103,(604) 261-2441,http://www.villaroofing.com,2.9,29
Crown Roofing LTD,11860 Hammersmith Way Unit 118,(604) 370-6288,https://www.crownroofingltd.com,4.8,60
Raise the Roof Roofing & Repair Ltd.,1750 William St,(778) 385-9585,http://raisetheroofroofing.com,4.7,24
Atlas-Apex Roofing Inc.,9211 River Dr,(604) 273-0845,http://www.atlas-apex.com,4.4,8
Pro Torch Roofing,7060 Waltham Ave,(778) 316-1247,https://protorchroofing.ca,4.8,77
Pacific West Roofing & Exteriors,1790 W 10th Ave #111,(604) 733-1347,https://www.pacificwestexteriors.ca,4.6,10
Valley Metal Roofing,1285 W Broadway #600,(604) 670-8484,http://www.valleymetalroofing.com,4.8,17
Nika Roofing Ltd.,1110 27th St,(778) 858-7122,http://www.nikaroofing.ca,5.0,87
Chisholm Roofing,1083 East Kent Ave N,(604) 325-8099,http://chisholmroofing.ca,1.0,2
Lockhart Roofing Ltd.,121 15th St W,(604) 314-5544,http://www.lockhart-roofing.ca,5.0,47
Marine Roofing,4909 Byrne Rd,(604) 433-4322,http://marineroofing.com,3.2,29
In Awe Roofing,80 Walter Hardwick Ave #505,(604) 255-7663,http://inaweroofing.com,5.0,7
Roofing Vancouver BC,4501 Kingsway #201 unit 231,(778) 200-3114,http://www.roofingvancouverbc.com,3.7,3
Neo Roofing Solutions Ltd,Roofing contractor,(604) 346-5647,http://www.neoroofing.ca,5.0,29
Penfolds Roofing & Solar,710 Queensbury Ave,(604) 988-3791,https://www.penfoldsroofing.com,4.2,27
Unique Roofers,Roofing contractor,(778) 960-2671,https://unique-roofers.business.site,5.0,2
All in One Roof Service,Roofing contractor,(647) 697-0397,https://all-in-one-roof-service.business.site,5.0,5
Norton Roofing Systems Ltd,701 W Georgia St #1500,(604) 281-4759,http://nortonroofingsystemsltd.com,5.0,5
Paragon Roofing BC,12233 92 Ave,(604) 358-3436,https://paragonroofingbc.ca,4.9,51
Vantage Roofing Company Ltd. - Roofers & Roofing Contractors,Roofing contractor,(778) 743-1311,https://vantageroofingltd.ca,5.0,51
Steeves Roofing & Solar,Roofing contractor,(604) 445-5079,https://steevesroofingsolar.com,4.7,14
Paragon Roofing BC,3262 Ganymede Dr,(604) 358-3436,http://paragonroofingbc.ca,5.0,8
